p_1,W192-REGENCY
p_2,L192-SB 805 A
p_3,W191-NEWPORT BEACH
p_4,L191-SOCAL
p_5,W186-PATRIOT
p_6,L186-LEGACY
p_7,W185-LAMORINDA A
p_8,L185-DIABLO RED A
p_9,W182-SET BLACK A
p_10,L182-SB 805 B
p_11,W181-STANFORD A
p_12,L181-CHANNEL ISLANDS GOLD
p_13,W178-SD SHORES BLACK
p_14,L178-CLOVIS A
p_15,W177-ASPHALT GREEN
p_16,L177-680 RED A
p_17,W170-LONG BEACH AF RED A
p_18,L170-GREENWICH
p_19,W169-LA JOLLA A
p_20,L169-SANTA CRUZ BLACK A
p_21,SHAQ BLUE A
p_22,TSUNAMI BLUE A
p_23,SOUTH COAST RED A
p_24,VIPER PIGEON
g_25,W190-ODIN BLACK
g_26,L190-SEASIDE
g_27,W189-THUNDER
g_28,L189-CAL REPUBLIC BLACK
g_29,W187-DAVIS
g_30,L187-ROSE BOWL RED A
g_31,W188-OAHU KAI
g_32,L188-SAN JOES EXPRESS BLUE A
g_33,W183-COMMERCE
g_34,L183-SKIP
g_35,W184-SHARKS
g_36,L184-COLORADO
g_37,W179-NORCAL BLACK A
g_38,L179-BAINBRIDGE
g_39,W180-LAMORINDA B
g_40,L180-AMERICAN RIVER BLUE
g_41,W175-LYONS
g_42,L175-CHICAGO PARK
g_43,W176-PUGET SOUND
g_44,L176-DIABLO BLACK B
g_45,RAIN CITY
g_46,ALAMO AREA
g_47,NIPC
g_48,THIRD COAST
